ticket_id,date,month,region,service_type,ticket_category,priority,status,response_time_minutes,resolution_time_minutes,related_incident_id,customer_segment,repeat_complaint,satisfaction_score
TCK-2026-00311,2026-01-01,2026-01,Denpasar,Enterprise VPN,Router ONT Issue,Medium,Closed,81,529,,Public Sector,false,4.5
TCK-2026-00435,2026-01-01,2026-01,Yogyakarta,IPTV,Billing Related,Critical,Resolved,3,84,INC-2026-01241,Residential,false,3.6
TCK-2026-00440,2026-01-01,2026-01,Yogyakarta,Voice,Slow Connection,Medium,Open,93,,INC-2026-00283,Residential,false,
TCK-2026-01519,2026-01-01,2026-01,Denpasar,Enterprise VPN,Internet Down,Medium,Waiting Customer,76,,,Residential,false,
TCK-2026-01569,2026-01-01,2026-01,Makassar,Enterprise VPN,Internet Down,High,Waiting Customer,49,,,Residential,false,
TCK-2026-02518,2026-01-01,2026-01,Makassar,Mobile Broadband,Internet Down,Critical,Resolved,2,53,INC-2026-00479,Residential,false,3.9
TCK-2026-02916,2026-01-01,2026-01,Yogyakarta,Enterprise VPN,Slow Connection,Medium,Resolved,66,603,,Residential,false,3.4
TCK-2026-03395,2026-01-01,2026-01,Makassar,Voice,Intermittent Connection,High,Closed,2,280,,Residential,false,3.5
TCK-2026-04078,2026-01-01,2026-01,Denpasar,Fiber Internet,Enterprise SLA Complaint,High,Closed,30,225,,SMB,false,3.9
TCK-2026-04158,2026-01-01,2026-01,Semarang,Voice,Billing Related,Medium,In Progress,88,,,Residential,false,
TCK-2026-04254,2026-01-01,2026-01,Palembang,Mobile Broadband,Billing Related,Medium,Closed,103,565,,Residential,false,4.6
TCK-2026-04430,2026-01-01,2026-01,Makassar,Voice,Billing Related,High,Closed,61,325,,Residential,false,3.0
TCK-2026-04799,2026-01-01,2026-01,Yogyakarta,Voice,Installation Delay,Medium,Closed,73,580,INC-2026-00283,Residential,false,3.5
TCK-2026-04897,2026-01-01,2026-01,Yogyakarta,Voice,Billing Related,Medium,In Progress,84,,,Residential,false,
TCK-2026-05169,2026-01-01,2026-01,Jakarta,Fiber Internet,Billing Related,Low,Waiting Customer,140,,,SMB,false,
TCK-2026-01006,2026-01-02,2026-01,Surabaya,Enterprise VPN,Internet Down,Medium,Closed,70,417,,Public Sector,false,4.0
TCK-2026-01035,2026-01-02,2026-01,Medan,Mobile Broadband,Billing Related,High,Open,67,,,Residential,false,
TCK-2026-02001,2026-01-02,2026-01,Makassar,Cloud Connectivity,Billing Related,Medium,In Progress,77,,,Residential,false,
TCK-2026-02485,2026-01-02,2026-01,Yogyakarta,IPTV,Intermittent Connection,Medium,Closed,56,485,,SMB,false,4.9
TCK-2026-02640,2026-01-02,2026-01,Semarang,Enterprise VPN,Router ONT Issue,Medium,Resolved,67,636,,SMB,false,4.2
TCK-2026-03482,2026-01-02,2026-01,Palembang,Fiber Internet,Internet Down,Low,Open,139,,,Enterprise,false,
TCK-2026-04016,2026-01-02,2026-01,Yogyakarta,Fiber Internet,Billing Related,Low,Resolved,94,825,,SMB,false,4.1
TCK-2026-04372,2026-01-02,2026-01,Palembang,Fiber Internet,Enterprise SLA Complaint,High,In Progress,22,,,SMB,true,
TCK-2026-04761,2026-01-02,2026-01,Balikpapan,IPTV,Router ONT Issue,Medium,Resolved,85,502,INC-2026-00109,Residential,false,3.8
TCK-2026-05246,2026-01-02,2026-01,Yogyakarta,Cloud Connectivity,Router ONT Issue,Low,Resolved,142,954,,Residential,false,4.5
TCK-2026-01285,2026-01-03,2026-01,Jakarta,Cloud Connectivity,Billing Related,Low,Resolved,127,763,,SMB,false,4.6
TCK-2026-01382,2026-01-03,2026-01,Surabaya,IPTV,Intermittent Connection,Low,Resolved,122,846,,Enterprise,false,4.5
TCK-2026-01553,2026-01-03,2026-01,Makassar,Voice,Slow Connection,Medium,Resolved,113,552,,Residential,false,3.5
TCK-2026-01629,2026-01-03,2026-01,Denpasar,Cloud Connectivity,Router ONT Issue,Medium,Resolved,76,487,,Public Sector,true,3.5
TCK-2026-02584,2026-01-03,2026-01,Bandung,Fiber Internet,Internet Down,Low,Resolved,145,937,,Residential,false,4.4
TCK-2026-02866,2026-01-03,2026-01,Bandung,Enterprise VPN,Enterprise SLA Complaint,Low,Resolved,95,799,,SMB,false,4.1
TCK-2026-03795,2026-01-03,2026-01,Semarang,Enterprise VPN,Installation Delay,High,Resolved,65,420,,Residential,false,2.9
TCK-2026-04563,2026-01-03,2026-01,Surabaya,Mobile Broadband,Enterprise SLA Complaint,Low,Resolved,105,955,,Residential,false,4.4
TCK-2026-05182,2026-01-03,2026-01,Semarang,IPTV,Installation Delay,Critical,Resolved,2,2,,Residential,true,2.6
TCK-2026-05297,2026-01-03,2026-01,Makassar,Voice,Internet Down,Low,Resolved,144,848,,SMB,false,5
TCK-2026-05371,2026-01-03,2026-01,Medan,Mobile Broadband,Router ONT Issue,Low,Resolved,151,851,INC-2026-00914,Enterprise,true,4.4
TCK-2026-00170,2026-01-04,2026-01,Bandung,IPTV,Internet Down,Medium,Resolved,79,535,,Residential,false,3.5
TCK-2026-00207,2026-01-04,2026-01,Denpasar,Fiber Internet,Enterprise SLA Complaint,Medium,Resolved,93,394,,Enterprise,false,2.9
TCK-2026-00241,2026-01-04,2026-01,Makassar,Fiber Internet,Installation Delay,Low,Open,114,,,Residential,false,
TCK-2026-00309,2026-01-04,2026-01,Palembang,Voice,Installation Delay,Low,Closed,159,878,,Residential,false,2.8
TCK-2026-01169,2026-01-04,2026-01,Yogyakarta,Cloud Connectivity,Billing Related,High,Resolved,43,260,INC-2026-00763,Residential,false,3.6
TCK-2026-02032,2026-01-04,2026-01,Jakarta,Cloud Connectivity,Internet Down,Medium,Resolved,73,330,,Residential,false,3.8
TCK-2026-02126,2026-01-04,2026-01,Denpasar,Cloud Connectivity,Billing Related,Low,Resolved,108,880,,Residential,true,3.4
TCK-2026-02289,2026-01-04,2026-01,Jakarta,Mobile Broadband,Installation Delay,Low,Waiting Customer,89,,,Residential,false,
TCK-2026-03864,2026-01-04,2026-01,Bandung,Enterprise VPN,Intermittent Connection,Low,Waiting Customer,116,,,Residential,false,
TCK-2026-04006,2026-01-04,2026-01,Jakarta,Fiber Internet,Internet Down,Low,Resolved,102,789,,Residential,false,5
TCK-2026-04075,2026-01-04,2026-01,Denpasar,Enterprise VPN,Enterprise SLA Complaint,Medium,In Progress,93,,,Residential,false,
TCK-2026-04362,2026-01-04,2026-01,Makassar,Cloud Connectivity,Internet Down,Low,Open,100,,,SMB,false,
TCK-2026-00152,2026-01-05,2026-01,Surabaya,Mobile Broadband,Billing Related,Medium,In Progress,63,,INC-2026-01055,Residential,false,
TCK-2026-00253,2026-01-05,2026-01,Palembang,Enterprise VPN,Router ONT Issue,Medium,Resolved,43,487,INC-2026-02197,Residential,false,4.7
TCK-2026-01523,2026-01-05,2026-01,Jakarta,Enterprise VPN,Internet Down,Low,Waiting Customer,109,,,Enterprise,false,
TCK-2026-01797,2026-01-05,2026-01,Palembang,Voice,Billing Related,Medium,Closed,83,433,INC-2026-00031,Enterprise,false,5
TCK-2026-02468,2026-01-05,2026-01,Jakarta,Enterprise VPN,Billing Related,High,Closed,30,164,INC-2026-01506,Public Sector,true,2.9
