date,month,region,total_sites,active_incidents,critical_incidents,open_tickets,affected_customers,sla_achievement,avg_latency_ms,packet_loss_rate,technician_utilization,customer_satisfaction
2026-01-01,2026-01,Jakarta,25,0,0,1,0,98.577,36.74,0.083,58.51,3.66
2026-01-01,2026-01,Bandung,25,0,0,0,0,98.297,41.15,0.34,67.12,4.34
2026-01-01,2026-01,Surabaya,25,0,0,0,0,98.611,27.06,0.63,73.22,3.74
2026-01-01,2026-01,Medan,25,0,1,0,251,98.813,27.86,0.598,79.59,4.95
2026-01-01,2026-01,Makassar,25,0,0,1,17,98.787,41.77,0.688,73.41,4.39
2026-01-01,2026-01,Semarang,25,0,0,1,0,99.128,24.37,0.27,72.36,4.8
2026-01-01,2026-01,Yogyakarta,25,0,0,2,596,99.192,40.29,0.923,66.82,4.25
2026-01-01,2026-01,Denpasar,25,0,0,1,0,99.068,21.87,1.12,54.33,3.96
2026-01-01,2026-01,Palembang,25,0,0,0,0,98.7,22.67,0.242,69.35,4.1
2026-01-01,2026-01,Balikpapan,25,0,0,0,0,98.255,45.75,0.054,74.85,4.39
2026-01-08,2026-01,Jakarta,25,0,0,6,65,98.825,28.64,0.316,55.8,4.32
2026-01-08,2026-01,Bandung,25,0,0,4,93,98.348,38.49,0.461,68.71,4.14
2026-01-08,2026-01,Surabaya,25,0,0,2,0,99.173,14.01,0.276,73.45,4.06
2026-01-08,2026-01,Medan,25,0,0,2,0,98.471,31.04,0.765,63.09,3.77
2026-01-08,2026-01,Makassar,25,0,0,5,165,98.413,41.06,0.634,71.17,3.86
2026-01-08,2026-01,Semarang,25,1,0,5,0,98.719,43.55,0.865,64.56,3.82
2026-01-08,2026-01,Yogyakarta,25,0,0,4,0,99.18,26.88,0.619,69.39,4.05
2026-01-08,2026-01,Denpasar,25,0,0,3,329,99.088,21.82,0.564,68.97,3.82
2026-01-08,2026-01,Palembang,25,1,0,3,0,98.852,27.62,0.61,73.69,3.36
2026-01-08,2026-01,Balikpapan,25,0,0,3,0,98.438,35.62,0.399,68.93,4.34
2026-01-15,2026-01,Jakarta,25,0,1,7,620,98.438,18.37,0.156,77.1,4.07
2026-01-15,2026-01,Bandung,25,0,1,8,1166,98.953,39.1,0.658,73.52,4.82
2026-01-15,2026-01,Surabaya,25,0,0,4,0,99.143,30.98,0.575,75.4,4.13
2026-01-15,2026-01,Medan,25,1,0,8,17,99.174,24.55,0.855,69.05,4.03
2026-01-15,2026-01,Makassar,25,0,0,5,0,98.225,30.24,0.804,76.68,4.09
2026-01-15,2026-01,Semarang,25,1,0,7,0,98.434,41.56,0.01,63.05,4.03
2026-01-15,2026-01,Yogyakarta,25,0,0,6,0,99.208,37.33,0.521,72.58,3.82
2026-01-15,2026-01,Denpasar,25,0,0,5,0,99.355,41.23,0.533,70.82,4.37
2026-01-15,2026-01,Palembang,25,1,0,6,0,98.618,32.82,0.37,84.93,4.56
2026-01-15,2026-01,Balikpapan,25,0,0,10,0,98.366,24.63,0.522,63.71,4.68
2026-01-22,2026-01,Jakarta,25,0,0,10,0,98.092,23.94,0.731,77.6,3.82
2026-01-22,2026-01,Bandung,25,0,0,15,71,98.589,29.29,0.675,75.15,4.48
2026-01-22,2026-01,Surabaya,25,1,0,7,0,98.358,24.03,0.82,49.24,3.83
2026-01-22,2026-01,Medan,25,1,0,14,0,98.539,28.25,0.989,69.82,4.38
2026-01-22,2026-01,Makassar,25,0,0,18,25,98.628,44.53,1.07,66.1,4.33
2026-01-22,2026-01,Semarang,25,1,0,13,27,98.576,43.0,0.743,60.04,4.92
2026-01-22,2026-01,Yogyakarta,25,1,1,8,1501,98.719,41.36,1.148,51.82,4.31
2026-01-22,2026-01,Denpasar,25,1,0,11,0,98.362,38.32,0.679,75.94,4.32
2026-01-22,2026-01,Palembang,25,2,0,7,79,98.642,39.86,1.125,70.75,4.52
2026-01-22,2026-01,Balikpapan,25,0,0,15,0,99.414,23.88,1.044,73.27,3.96
2026-01-29,2026-01,Jakarta,25,0,0,14,70,98.526,29.75,0.545,74.72,4.19
2026-01-29,2026-01,Bandung,25,0,0,19,117,98.134,26.34,1.122,76.73,3.66
2026-01-29,2026-01,Surabaya,25,1,0,13,0,98.811,45.94,0.956,81.56,4.27
2026-01-29,2026-01,Medan,25,2,0,17,141,98.495,29.1,0.244,69.27,4.19
2026-01-29,2026-01,Makassar,25,0,0,20,0,97.68,19.02,0.242,69.64,4.03
2026-01-29,2026-01,Semarang,25,1,0,19,0,98.411,33.99,0.192,67.06,4.41
2026-01-29,2026-01,Yogyakarta,25,2,0,16,672,98.034,50.44,0.889,59.93,4.16
2026-01-29,2026-01,Denpasar,25,1,0,14,0,98.642,21.2,0.401,73.82,3.59
2026-01-29,2026-01,Palembang,25,2,0,11,0,99.487,47.69,0.764,62.04,3.98
2026-01-29,2026-01,Balikpapan,25,0,0,18,0,98.904,21.87,1.041,82.86,3.98
2026-02-05,2026-02,Jakarta,25,0,0,19,212,98.511,33.94,0.119,65.48,4.15
2026-02-05,2026-02,Bandung,25,0,0,25,0,98.486,35.57,0.903,66.05,4.42
