timestamp,date,month,region,site_id,service_type,latency_ms,packet_loss_rate,jitter_ms,bandwidth_utilization,availability_percentage,quality_score
2026-01-01T00:00:00,2026-01-01,2026-01,Jakarta,SITE-0001,IPTV,33.35,0.287,3.98,62.78,98.675,88.53
2026-01-01T06:00:00,2026-01-01,2026-01,Bandung,SITE-0002,Mobile Broadband,20.03,0.236,3.73,52.31,99.184,92.46
2026-01-01T12:00:00,2026-01-01,2026-01,Surabaya,SITE-0003,Fiber Internet,24.3,0.729,3.95,68.97,98.465,86.01
2026-01-01T06:00:00,2026-01-01,2026-01,Medan,SITE-0004,IPTV,16.29,0.324,5.72,65.91,98.586,90.09
2026-01-01T06:00:00,2026-01-01,2026-01,Makassar,SITE-0005,Fiber Internet,45.64,0.38,1.5,57.32,98.748,87.16
2026-01-01T06:00:00,2026-01-01,2026-01,Semarang,SITE-0006,Cloud Connectivity,25.52,0.922,4.85,66.44,99.484,85.36
2026-01-01T06:00:00,2026-01-01,2026-01,Yogyakarta,SITE-0007,IPTV,32.47,0.0,9.91,49.84,98.452,87.06
2026-01-01T12:00:00,2026-01-01,2026-01,Denpasar,SITE-0008,Fiber Internet,30.58,0.357,6.6,69.22,97.75,84.26
2026-01-01T12:00:00,2026-01-01,2026-01,Palembang,SITE-0009,IPTV,20.99,0.096,6.93,47.52,98.431,89.94
2026-01-01T06:00:00,2026-01-01,2026-01,Balikpapan,SITE-0010,Cloud Connectivity,40.26,0.186,7.44,53.73,99.472,87.18
2026-01-01T00:00:00,2026-01-01,2026-01,Jakarta,SITE-0011,Cloud Connectivity,27.05,0.428,6.48,44.97,99.213,88.14
2026-01-01T18:00:00,2026-01-01,2026-01,Bandung,SITE-0012,Fiber Internet,23.56,0.098,14.17,74.43,99.881,87.19
2026-01-01T18:00:00,2026-01-01,2026-01,Surabaya,SITE-0013,Mobile Broadband,37.2,0.039,4.72,77.04,99.99,89.48
2026-01-01T12:00:00,2026-01-01,2026-01,Medan,SITE-0014,Voice,34.79,0.71,3.05,48.54,98.2,83.98
2026-01-01T18:00:00,2026-01-01,2026-01,Makassar,SITE-0015,Mobile Broadband,21.92,0.617,6.83,61.57,99.99,87.36
2026-01-01T00:00:00,2026-01-01,2026-01,Semarang,SITE-0016,Enterprise VPN,21.95,0.257,7.05,75.3,98.554,88.64
2026-01-01T12:00:00,2026-01-01,2026-01,Yogyakarta,SITE-0017,IPTV,39.78,0.167,10.81,51.52,99.328,85.56
2026-01-01T12:00:00,2026-01-01,2026-01,Denpasar,SITE-0018,Cloud Connectivity,24.15,0.464,6.02,71.12,99.53,88.63
2026-01-01T12:00:00,2026-01-01,2026-01,Palembang,SITE-0019,Enterprise VPN,27.23,0.461,3.61,48.75,99.312,89.43
2026-01-01T12:00:00,2026-01-01,2026-01,Balikpapan,SITE-0020,Mobile Broadband,29.5,0.339,1.05,68.87,99.191,91.4
2026-01-01T18:00:00,2026-01-01,2026-01,Jakarta,SITE-0021,Enterprise VPN,39.26,0.215,5.95,66.26,98.399,86.14
2026-01-01T12:00:00,2026-01-01,2026-01,Bandung,SITE-0022,Mobile Broadband,16.83,0.0,3.94,55.77,99.99,94.81
2026-01-01T00:00:00,2026-01-01,2026-01,Surabaya,SITE-0023,Cloud Connectivity,28.86,0.549,4.38,54.2,99.114,88.0
2026-01-01T18:00:00,2026-01-01,2026-01,Medan,SITE-0024,Voice,38.72,0.251,7.22,53.48,99.463,87.05
