date,month,region,service_type,sla_target,sla_actual,uptime_percentage,downtime_minutes,mttr_minutes,breach_count,availability_score
2026-01-01,2026-01,Jakarta,Fiber Internet,98.5,97.887,97.857,30.43,162,1,97.98
2026-01-01,2026-01,Jakarta,Mobile Broadband,98.5,98.055,97.902,28.01,119,1,98.191
2026-01-01,2026-01,Jakarta,Enterprise VPN,99.5,98.738,98.608,18.17,86,1,98.756
2026-01-01,2026-01,Jakarta,IPTV,98.5,98.348,98.316,23.79,84,1,98.511
2026-01-01,2026-01,Jakarta,Voice,98.5,98.405,98.37,22.97,117,1,98.603
2026-01-01,2026-01,Jakarta,Cloud Connectivity,99.5,98.584,98.413,20.39,122,1,98.749
2026-01-01,2026-01,Bandung,Fiber Internet,98.5,98.392,98.278,23.15,124,1,98.585
2026-01-01,2026-01,Bandung,Mobile Broadband,98.5,98.321,98.292,24.18,182,1,98.376
2026-01-01,2026-01,Bandung,Enterprise VPN,99.5,99.008,98.855,14.28,241,1,99.268
2026-01-01,2026-01,Bandung,IPTV,98.5,98.023,97.961,28.46,144,1,98.239
2026-01-01,2026-01,Bandung,Voice,98.5,98.447,98.27,22.37,157,1,98.549
2026-01-01,2026-01,Bandung,Cloud Connectivity,99.5,99.019,98.9,14.12,201,1,99.054
2026-01-01,2026-01,Surabaya,Fiber Internet,98.5,97.996,97.933,28.86,171,1,98.261
2026-01-01,2026-01,Surabaya,Mobile Broadband,98.5,98.213,98.112,25.73,166,1,98.24
2026-01-01,2026-01,Surabaya,Enterprise VPN,99.5,98.866,98.807,16.32,163,1,99.146
2026-01-01,2026-01,Surabaya,IPTV,98.5,98.412,98.35,22.87,138,1,98.674
2026-01-01,2026-01,Surabaya,Voice,98.5,98.316,98.259,24.25,196,1,98.605
2026-01-01,2026-01,Surabaya,Cloud Connectivity,99.5,99.162,99.126,12.07,90,1,99.453
2026-01-01,2026-01,Medan,Fiber Internet,98.5,98.483,98.372,21.85,205,1,98.527
2026-01-01,2026-01,Medan,Mobile Broadband,98.5,98.192,98.026,26.04,183,1,98.198
2026-01-01,2026-01,Medan,Enterprise VPN,99.5,99.297,99.191,10.12,164,1,99.353
2026-01-01,2026-01,Medan,IPTV,98.5,98.464,98.347,22.12,102,1,98.602
2026-01-01,2026-01,Medan,Voice,98.5,98.441,98.3,22.44,127,1,98.501
2026-01-01,2026-01,Medan,Cloud Connectivity,99.5,99.266,99.091,10.58,143,1,99.486
2026-01-01,2026-01,Makassar,Fiber Internet,98.5,97.942,97.795,29.63,97,1,97.975
2026-01-01,2026-01,Makassar,Mobile Broadband,98.5,98.344,98.229,23.85,105,1,98.599
2026-01-01,2026-01,Makassar,Enterprise VPN,99.5,98.989,98.814,14.56,162,1,99.223
2026-01-01,2026-01,Makassar,IPTV,98.5,98.142,98.063,26.76,78,1,98.286
2026-01-01,2026-01,Makassar,Voice,98.5,97.742,97.688,32.52,126,1,97.872
2026-01-01,2026-01,Makassar,Cloud Connectivity,99.5,99.169,99.161,11.97,151,1,99.357
2026-01-01,2026-01,Semarang,Fiber Internet,98.5,98.381,98.344,23.31,66,1,98.439
2026-01-01,2026-01,Semarang,Mobile Broadband,98.5,98.387,98.259,23.23,87,1,98.476
2026-01-01,2026-01,Semarang,Enterprise VPN,99.5,98.825,98.774,16.93,137,1,98.992
2026-01-01,2026-01,Semarang,IPTV,98.5,97.73,97.552,32.69,106,1,97.83
2026-01-01,2026-01,Semarang,Voice,98.5,98.288,98.275,24.65,110,1,98.376
2026-01-01,2026-01,Semarang,Cloud Connectivity,99.5,98.744,98.609,18.09,133,1,98.946
2026-01-01,2026-01,Yogyakarta,Fiber Internet,98.5,98.394,98.295,23.12,146,1,98.46
2026-01-01,2026-01,Yogyakarta,Mobile Broadband,98.5,98.289,98.151,24.64,155,1,98.293
2026-01-01,2026-01,Yogyakarta,Enterprise VPN,99.5,98.877,98.772,16.17,44,1,99.121
2026-01-01,2026-01,Yogyakarta,IPTV,98.5,98.035,97.88,28.29,119,1,98.202
2026-01-01,2026-01,Yogyakarta,Voice,98.5,98.391,98.255,23.17,138,1,98.509
2026-01-01,2026-01,Yogyakarta,Cloud Connectivity,99.5,99.232,99.21,11.06,193,1,99.252
2026-01-01,2026-01,Denpasar,Fiber Internet,98.5,98.047,97.881,28.12,136,1,98.208
2026-01-01,2026-01,Denpasar,Mobile Broadband,98.5,98.494,98.319,21.69,106,1,98.675
